Edad,Sexo,"Nombre del anuncio","Estado de la entrega","Nivel de la entrega",Alcance,Impresiones,Frecuencia,"Configuración de atribución","Tipo de resultado",Resultados,"Importe gastado (USD)","Coste por resultado",Inicio,Fin,"CTR (todos)","CPM (coste por 1000 impresiones)","CPC (Coste por clic en el enlace)","Clics en el enlace",Visualizaciones,"Coste por interacción con la publicación","Tasa de resultados","Clics (todos)","CPC (todos)","Inicio del informe","Fin del informe"
18-24,male,"Publicación de Instagram: ⚠️ PRECIOS POR TIEMPO...",not_delivering,ad,12837,22537,1.75562826,"7 días después del clic o 1 día después de la visualización","Visitas al perfil de Instagram",2002,11.34,0.00566434,2025-12-05,2025-12-11,4.2419133,0.50317256,0.01167868,971,,0.01096712,8.8831699,956,0.01186192,2025-12-01,2026-01-31
35-44,female,"Arizon.ai 06 - A Guarenas",not_delivering,ad,3651,7265,1.98986579,"7 días después del clic o 1 día después de la visualización","Conversaciones con mensajes iniciadas",24,11.26,0.46916667,2026-01-16,2026-01-23,3.50997935,1.54989677,0.20851852,54,,0.00499778,0.330351,255,0.04415686,2025-12-01,2026-01-31
35-44,male,"Publicación de Instagram: ⚠️ PRECIOS POR TIEMPO...",not_delivering,ad,46700,67352,1.44222698,"7 días después del clic o 1 día después de la visualización","Visitas al perfil de Instagram",2887,11.26,0.00390024,2026-01-04,2026-01-10,2.86554223,0.16718138,0.00579516,1943,,0.00509272,4.28643544,1930,0.0058342,2025-12-01,2026-01-31
35-44,male,"Carrusel Poco M8 5G",not_delivering,ad,2816,8333,2.95916193,"7 días después del clic o 1 día después de la visualización","Conversaciones con mensajes iniciadas",23,11.24,0.48869565,2026-01-19,2026-01-26,3.21612865,1.34885395,0.1124,100,,0.01141117,0.27601104,268,0.0419403,2025-12-01,2026-01-31
25-34,female,"Publicación de Instagram: Lo más nuevo y TOP de...",not_delivering,ad,16050,25589,1.59433022,"7 días después del clic o 1 día después de la visualización","Visitas al perfil de Instagram",1762,11.11,0.00630533,2025-12-22,"En curso",4.19711595,0.43417093,0.01023963,1085,,0.00860573,6.88577123,1074,0.01034451,2025-12-01,2026-01-31
25-34,female,"Redmi Note 15 Pro",not_delivering,ad,4243,8128,1.91562574,"7 días después del clic o 1 día después de la visualización","Conversaciones con mensajes iniciadas",40,11.07,0.27675,2026-01-24,2026-01-31,4.95816929,1.36195866,0.10852941,102,,0.00571798,0.49212598,403,0.02746898,2025-12-01,2026-01-31
65+,female,"Publicación de Instagram: ⚠️ PRECIOS POR TIEMPO...",not_delivering,ad,10685,13651,1.2775854,"7 días después del clic o 1 día después de la visualización","Visitas al perfil de Instagram",852,10.95,0.01285211,2025-12-05,2025-12-11,6.28525383,0.80213904,0.01242906,881,,0.01099398,6.241301,858,0.01276224,2025-12-01,2026-01-31
25-34,female,"Carrusel Promocion Samsung",not_delivering,ad,6410,12215,1.90561622,"7 días después del clic o 1 día después de la visualización","Conversaciones con mensajes iniciadas",49,10.83,0.22102041,2026-01-15,2026-01-22,4.30618093,0.88661482,0.07367347,147,,0.00914696,0.40114613,526,0.02058935,2025-12-01,2026-01-31
55-64,male,"LISTA 12/12 - campaña de Interacción",not_delivering,ad,24558,30139,1.22725792,"7 días después del clic o 1 día después de la visualización","Interacciones con publicación",1640,10.83,0.00660366,2025-12-15,2025-12-20,6.54633531,0.35933508,0.00680704,1591,,0.00660366,5.44145459,1973,0.0054891,2025-12-01,2026-01-31
35-44,male,"Publicación de Instagram: ⚠️ PRECIOS POR TIEMPO...",not_delivering,ad,11232,19949,1.77608618,"7 días después del clic o 1 día después de la visualización","Visitas al perfil de Instagram",2256,10.78,0.00477837,2025-12-05,2025-12-11,5.38372851,0.54037796,0.00984475,1095,,0.00925322,11.30883754,1074,0.01003724,2025-12-01,2026-01-31
