Edad,Sexo,"Nombre del anuncio","Estado de la entrega","Nivel de la entrega",Alcance,Impresiones,Frecuencia,"Configuración de atribución","Tipo de resultado",Resultados,"Importe gastado (USD)","Coste por resultado",Inicio,Fin,"CTR (todos)","CPM (coste por 1000 impresiones)","CPC (Coste por clic en el enlace)","Clics en el enlace",Visualizaciones,"Coste por interacción con la publicación","Tasa de resultados","Clics (todos)","CPC (todos)","Inicio del informe","Fin del informe"
65+,female,"Honor 400 Pro - campaña de Interacción",not_delivering,ad,646,1069,1.65479876,"7 días después del clic o 1 día después de la visualización","Interacciones con publicación",119,0.87,0.00731092,2025-12-11,2025-12-18,6.54817587,0.81384471,0.12428571,7,,0.00731092,11.13189897,70,0.01242857,2025-12-01,2026-01-31
65+,male,"Carrusel Honor 90 , M6LITE, PLAY9A - campaña de Interacción",not_delivering,ad,1006,1666,1.65606362,"7 días después del clic o 1 día después de la visualización","Interacciones con publicación",113,0.87,0.00769912,2025-12-11,2025-12-18,7.20288115,0.52220888,0.0174,50,,0.00769912,6.78271309,120,0.00725,2025-12-01,2026-01-31
55-64,male,"Xiaomi Redmi Note 15 Pro",active,ad,107,183,1.71028037,"7 días después del clic o 1 día después de la visualización","Conversaciones con mensajes iniciadas",1,0.87,0.87,2026-01-27,2026-02-07,4.91803279,4.75409836,0.174,5,,0.02416667,0.54644809,9,0.09666667,2025-12-01,2026-01-31
25-34,male,"Xiaomi 15T Pro - campaña de Interacción",not_delivering,ad,1925,2489,1.29298701,"7 días después del clic o 1 día después de la visualización","Interacciones con publicación",103,0.86,0.00834951,2025-11-20,"En curso",3.89714745,0.34552029,0.04095238,21,,0.00834951,4.13820812,97,0.00886598,2025-12-01,2026-01-31
65+,female,"Nintendo Switch - campaña de Interacción",not_delivering,ad,381,558,1.46456693,"7 días después del clic o 1 día después de la visualización","Interacciones con publicación",91,0.86,0.00945055,2025-12-11,2025-12-18,9.13978495,1.54121864,,,,0.00945055,16.30824373,51,0.01686275,2025-12-01,2026-01-31
65+,male,"Honor 400 Pro - campaña de Interacción",not_delivering,ad,886,1540,1.73814898,"7 días después del clic o 1 día después de la visualización","Interacciones con publicación",114,0.86,0.00754386,2025-12-11,2025-12-18,7.53246753,0.55844156,0.0344,25,,0.00754386,7.4025974,116,0.00741379,2025-12-01,2026-01-31
35-44,male,"Cubott king kong X PRO -  campaña de Interacción",not_delivering,ad,2106,2654,1.26020893,"7 días después del clic o 1 día después de la visualización","Interacciones con publicación",213,0.86,0.00403756,2026-01-02,2026-01-09,3.65486059,0.32403919,0.04777778,18,,0.00403756,8.0256217,97,0.00886598,2025-12-01,2026-01-31
35-44,male,"Equipa tu hogar por menos de 50 -campaña de Interacción",not_delivering,ad,1833,2445,1.33387889,"7 días después del clic o 1 día después de la visualización","Interacciones con publicación",144,0.85,0.00590278,2025-12-06,2025-12-13,6.01226994,0.34764826,0.03863636,22,,0.00590278,5.88957055,147,0.00578231,2025-12-01,2026-01-31
65+,female,"REDMI PAD 2 PRO - campaña de Interacción",not_delivering,ad,324,516,1.59259259,"7 días después del clic o 1 día después de la visualización","Interacciones con publicación",102,0.85,0.00833333,2025-12-18,2025-12-25,9.68992248,1.64728682,0.2125,4,,0.00833333,19.76744186,50,0.017,2025-12-01,2026-01-31
65+,male,"IPHONE NARANJA- campaña de Interacción",not_delivering,ad,1966,4313,2.19379451,"7 días después del clic o 1 día después de la visualización","Interacciones con publicación",48,0.85,0.01770833,2025-11-22,"En curso",1.34477162,0.1970786,0.07083333,12,,0.01770833,1.11291444,58,0.01465517,2025-12-01,2026-01-31
55-64,female,"Nubia Neo 3",active,ad,154,213,1.38311688,"7 días después del clic o 1 día después de la visualización","Conversaciones con mensajes iniciadas",1,0.84,0.84,2026-01-28,2026-02-04,5.63380282,3.94366197,0.168,5,,0.00954545,0.46948357,12,0.07,2025-12-01,2026-01-31
55-64,female,"Promos xiaomi - campaña de Interacción",not_delivering,ad,969,1381,1.4251806,"7 días después del clic o 1 día después de la visualización","Interacciones con publicación",157,0.84,0.00535032,2026-01-13,2026-01-20,7.6031861,0.60825489,0.02210526,38,,0.00535032,11.3685735,105,0.008,2025-12-01,2026-01-31
45-54,female,"Xiaomi Redmi Note 15 Pro",active,ad,134,228,1.70149254,"7 días después del clic o 1 día después de la visualización","Conversaciones con mensajes iniciadas",1,0.84,0.84,2026-01-27,2026-02-07,7.89473684,3.68421053,0.105,8,,0.02210526,0.43859649,18,0.04666667,2025-12-01,2026-01-31
45-54,male,"Equipa tu hogar por menos de 50 -campaña de Interacción",not_delivering,ad,1875,2552,1.36106667,"7 días después del clic o 1 día después de la visualización","Interacciones con publicación",158,0.84,0.00531646,2025-12-06,2025-12-13,6.26959248,0.32915361,0.03652174,23,,0.00531646,6.19122257,160,0.00525,2025-12-01,2026-01-31
45-54,male,"Cubott king kong X PRO -  campaña de Interacción",not_delivering,ad,1983,2718,1.37065053,"7 días después del clic o 1 día después de la visualización","Interacciones con publicación",197,0.83,0.0042132,2026-01-02,2026-01-09,3.78955114,0.3053716,0.03074074,27,,0.0042132,7.24797645,103,0.00805825,2025-12-01,2026-01-31
18-24,female,"POCO M8 5G: La potencia que estabas esperando!",not_delivering,ad,371,559,1.50673854,"7 días después del clic o 1 día después de la visualización","Conversaciones con mensajes iniciadas",2,0.83,0.415,2026-01-24,2026-01-31,5.3667263,1.48479428,0.27666667,3,,0.00715517,0.35778175,30,0.02766667,2025-12-01,2026-01-31
35-44,female,Lifephone,archived,ad,252,324,1.28571429,"7 días después del clic o 1 día después de la visualización","Conversaciones con mensajes iniciadas",1,0.83,0.83,2026-01-24,2026-02-07,4.01234568,2.5617284,0.166,5,,0.00697479,0.30864198,13,0.06384615,2025-12-01,2026-01-31
65+,female,"Cafetera  cashea - campaña de Interacción con la publicación",not_delivering,ad,1041,1277,1.22670509,"7 días después del clic o 1 día después de la visualización","Interacciones con publicación",60,0.82,0.01366667,2025-10-16,"En curso",5.40328896,0.64212999,0.02484848,33,,0.01366667,4.69851214,69,0.01188406,2025-12-01,2026-01-31
45-54,male,"Xiaomi 15T Pro - campaña de Interacción",not_delivering,ad,1874,2418,1.29028815,"7 días después del clic o 1 día después de la visualización","Interacciones con publicación",112,0.82,0.00732143,2025-11-20,"En curso",4.25971878,0.33912324,0.02216216,37,,0.00732143,4.63192721,103,0.00796117,2025-12-01,2026-01-31
65+,female,"IPHONE NARANJA- campaña de Interacción",not_delivering,ad,1372,2624,1.91253644,"7 días después del clic o 1 día después de la visualización","Interacciones con publicación",74,0.81,0.01094595,2025-11-22,"En curso",2.85823171,0.30868902,0.11571429,7,,0.01094595,2.82012195,75,0.0108,2025-12-01,2026-01-31
55-64,female,"Galaxy A56 5G",active,ad,133,360,2.70676692,"7 días después del clic o 1 día después de la visualización","Conversaciones con mensajes iniciadas",4,0.81,0.2025,2026-01-25,2026-02-01,10.55555556,2.25,0.0405,20,,0.02314286,1.11111111,38,0.02131579,2025-12-01,2026-01-31
65+,male,"Honor X8C, X7D y PLAY 10 - campaña de Interacción",not_delivering,ad,1584,2611,1.64835859,"7 días después del clic o 1 día después de la visualización","Interacciones con publicación",143,0.8,0.00559441,2026-01-07,2026-01-14,5.70662581,0.30639602,0.01311475,61,,0.00559441,5.4768288,149,0.00536913,2025-12-01,2026-01-31
55-64,male,"Huawei Watch GT6",active,ad,281,443,1.57651246,"7 días después del clic o 1 día después de la visualización",,,0.8,,2026-01-28,2026-02-04,3.16027088,1.80586907,0.11428571,7,,0.01230769,,14,0.05714286,2025-12-01,2026-01-31
35-44,male,"JBL Tour Pro 4",archived,ad,375,483,1.288,"7 días después del clic o 1 día después de la visualización",,,0.8,,2026-01-24,2026-01-31,1.86335404,1.6563147,0.16,5,,0.00629921,,9,0.08888889,2025-12-01,2026-01-31
18-24,female,"Engagement Ad",archived,ad,407,584,1.43488943,"7 días después del clic o 1 día después de la visualización","Conversaciones con mensajes iniciadas",1,0.8,0.8,2026-01-21,2026-01-31,4.10958904,1.36986301,0.08,10,,0.02051282,0.17123288,24,0.03333333,2025-12-01,2026-01-31
45-54,male,"Engagement Ad",archived,ad,236,352,1.49152542,"7 días después del clic o 1 día después de la visualización","Conversaciones con mensajes iniciadas",2,0.79,0.395,2026-01-21,2026-01-31,8.80681818,2.24431818,0.05266667,15,,0.01274194,0.56818182,31,0.02548387,2025-12-01,2026-01-31
25-34,male,"Cubott king kong X PRO -  campaña de Interacción",not_delivering,ad,1808,2403,1.32909292,"7 días después del clic o 1 día después de la visualización","Interacciones con publicación",167,0.79,0.00473054,2026-01-02,2026-01-09,2.99625468,0.32875572,0.079,10,,0.00473054,6.94964628,72,0.01097222,2025-12-01,2026-01-31
55-64,male,"Arizon.ai 04 Samsung S25 A Reel samsung galaxy s25",not_delivering,ad,244,324,1.32786885,"7 días después del clic o 1 día después de la visualización","Conversaciones con mensajes iniciadas",3,0.79,0.26333333,2026-01-15,2026-01-22,5.24691358,2.4382716,0.079,10,,0.00533784,0.92592593,17,0.04647059,2025-12-01,2026-01-31
65+,male,"Arizon.ai 05 Samsung Galaxy a25 post",not_delivering,ad,308,430,1.3961039,"7 días después del clic o 1 día después de la visualización","Conversaciones con mensajes iniciadas",2,0.79,0.395,2026-01-15,2026-01-22,1.86046512,1.8372093,0.79,1,,0.08777778,0.46511628,8,0.09875,2025-12-01,2026-01-31
25-34,male,"top telefonos mas vendidos 2025 - campaña de Interacción",not_delivering,ad,1666,2065,1.2394958,"7 días después del clic o 1 día después de la visualización","Interacciones con publicación",186,0.79,0.00424731,2026-01-02,"En curso",9.05569007,0.38256659,0.09875,8,,0.00424731,9.00726392,187,0.0042246,2025-12-01,2026-01-31
65+,male,"Carrusel HOT 60I - campaña de Interacción",not_delivering,ad,1652,2406,1.45641646,"7 días después del clic o 1 día después de la visualización","Interacciones con publicación",123,0.78,0.00634146,2025-12-26,2026-01-02,5.56940981,0.32418953,0.01258065,62,,0.00634146,5.11221945,134,0.0058209,2025-12-01,2026-01-31
55-64,male,"Lista 15/01 Arizon.ai - Ad Solo instagram",inactive,ad,310,468,1.50967742,"7 días después del clic o 1 día después de la visualización",,,0.78,,2026-01-15,2026-01-22,6.1965812,1.66666667,0.0975,8,,0.00672414,,29,0.02689655,2025-12-01,2026-01-31
25-34,female,"Video humberto  tv salcar de Interacción",not_delivering,ad,3799,4675,1.230587,"7 días después del clic o 1 día después de la visualización",ThruPlay,628,0.77,0.00122611,2025-12-18,2026-02-06,1.13368984,0.16470588,0.02851852,27,,0.00032572,13.43315508,53,0.0145283,2025-12-01,2026-01-31
65+,male,"XIAOMI PAD 7 - campaña de Interacción",not_delivering,ad,468,808,1.72649573,"7 días después del clic o 1 día después de la visualización","Interacciones con publicación",79,0.77,0.00974684,2025-12-18,2025-12-25,7.92079208,0.9529703,0.077,10,,0.00974684,9.77722772,64,0.01203125,2025-12-01,2026-01-31
65+,female,"Nuevos Xiaomi - campaña de Interacción",not_delivering,ad,811,1264,1.55856967,"7 días después del clic o 1 día después de la visualización","Interacciones con publicación",124,0.77,0.00620968,2026-01-04,2026-01-11,7.27848101,0.60917722,0.09625,8,,0.00620968,9.81012658,92,0.00836957,2025-12-01,2026-01-31
45-54,male,"JBL Tour Pro 4",archived,ad,240,296,1.23333333,"7 días después del clic o 1 día después de la visualización","Conversaciones con mensajes iniciadas",4,0.76,0.19,2026-01-24,2026-01-31,6.41891892,2.56756757,0.10857143,7,,0.00655172,1.35135135,19,0.04,2025-12-01,2026-01-31
45-54,female,"Promos samsung - campaña de Interacción",not_delivering,ad,1191,1594,1.33837112,"7 días después del clic o 1 día después de la visualización","Interacciones con publicación",215,0.76,0.00353488,2026-01-13,2026-01-20,3.38770389,0.47678795,0.06909091,11,,0.00353488,13.4880803,54,0.01407407,2025-12-01,2026-01-31
55-64,male,"Galaxy A56 5G",active,ad,137,311,2.27007299,"7 días después del clic o 1 día después de la visualización","Conversaciones con mensajes iniciadas",3,0.76,0.25333333,2026-01-25,2026-02-01,9.64630225,2.4437299,0.05066667,15,,0.019,0.96463023,30,0.02533333,2025-12-01,2026-01-31
25-34,male,"TV Hisense TCL",archived,ad,474,587,1.23839662,"7 días después del clic o 1 día después de la visualización","Conversaciones con mensajes iniciadas",1,0.75,0.75,2026-01-24,2026-01-31,2.89608177,1.27768313,0.1875,4,,0.00714286,0.17035775,17,0.04411765,2025-12-01,2026-01-31
35-44,female,"Video Humberto LOGIC G1L - campaña de Interacción",not_delivering,ad,7274,8418,1.15727248,"7 días después del clic o 1 día después de la visualización","Interacciones con publicación",4677,0.75,0.00016036,2025-12-26,2026-01-02,3.17177477,0.0890948,0.01704545,44,,0.00016036,55.55951532,267,0.00280899,2025-12-01,2026-01-31
18-24,male,"El Xiaomi 15T Pro",active,ad,393,630,1.60305344,"7 días después del clic o 1 día después de la visualización",,,0.75,,2026-01-27,2026-02-07,2.22222222,1.19047619,0.25,3,,0.02419355,,14,0.05357143,2025-12-01,2026-01-31
65+,male,"Lista Precios 20/01/2026",archived,ad,137,221,1.61313869,"7 días después del clic o 1 día después de la visualización",,,0.74,,2026-01-21,2026-01-31,10.40723982,3.34841629,0.05692308,13,,0.00961039,,23,0.03217391,2025-12-01,2026-01-31
35-44,male,"Carrusel iPhones 31 dic - campaña de Interacción",not_delivering,ad,1818,2352,1.29372937,"7 días después del clic o 1 día después de la visualización","Interacciones con publicación",202,0.74,0.00366337,2026-01-02,2026-01-09,3.01870748,0.31462585,0.04625,16,,0.00366337,8.58843537,71,0.01042254,2025-12-01,2026-01-31
65+,male,"Cafetera  cashea - campaña de Interacción con la publicación",not_delivering,ad,1305,1534,1.17547893,"7 días después del clic o 1 día después de la visualización","Interacciones con publicación",68,0.74,0.01088235,2025-10-16,"En curso",5.08474576,0.48239896,0.01681818,44,,0.01088235,4.43285528,78,0.00948718,2025-12-01,2026-01-31
65+,female,"Huawei GT5 Pro",active,ad,97,172,1.77319588,"7 días después del clic o 1 día después de la visualización","Conversaciones con mensajes iniciadas",1,0.73,0.73,2026-01-28,2026-02-04,5.23255814,4.24418605,0.12166667,6,,0.01140625,0.58139535,9,0.08111111,2025-12-01,2026-01-31
65+,female,"Nuevos Xiaomi campaña de Interacción",not_delivering,ad,627,914,1.45773525,"7 días después del clic o 1 día después de la visualización","Interacciones con publicación",156,0.73,0.00467949,2025-12-27,2026-01-06,10.1750547,0.79868709,0.06636364,11,,0.00467949,17.0678337,93,0.00784946,2025-12-01,2026-01-31
18-24,male,"Starlink campaña de mensaje",not_delivering,ad,509,908,1.78388998,"7 días después del clic o 1 día después de la visualización","Conversaciones con mensajes iniciadas",2,0.73,0.365,2026-01-06,"En curso",1.65198238,0.80396476,0.73,1,,0.10428571,0.22026432,15,0.04866667,2025-12-01,2026-01-31
55-64,female,"Arizon.ai 04 Samsung S25 B Carrusel Samsung Galaxy s25",not_delivering,ad,164,271,1.65243902,"7 días después del clic o 1 día después de la visualización","Conversaciones con mensajes iniciadas",5,0.72,0.144,2026-01-15,2026-01-22,3.6900369,2.65682657,0.12,6,,0.01058824,1.84501845,10,0.072,2025-12-01,2026-01-31
25-34,male,"Poco M8",not_delivering,ad,309,441,1.42718447,"7 días después del clic o 1 día después de la visualización",,,0.72,,2026-01-24,2026-01-31,2.9478458,1.63265306,0.72,1,,0.00847059,,13,0.05538462,2025-12-01,2026-01-31
65+,male,"top obequios mas pedidos - campaña de Interacción",not_delivering,ad,423,756,1.78723404,"7 días después del clic o 1 día después de la visualización","Interacciones con publicación",83,0.72,0.0086747,2025-12-18,2025-12-25,11.24338624,0.95238095,0.72,1,,0.0086747,10.97883598,85,0.00847059,2025-12-01,2026-01-31
65+,female,"Redmi Note 15 Pro - campaña de Interacción",not_delivering,ad,7639,10046,1.3150936,"7 días después del clic o 1 día después de la visualización","Interacciones con publicación",4050,0.72,0.00017778,2026-01-04,2026-01-11,2.30937687,0.07167032,0.01565217,46,,0.00017778,40.31455306,232,0.00310345,2025-12-01,2026-01-31
55-64,male,"Carrusel Baterias Telefonos",not_delivering,ad,244,364,1.49180328,"7 días después del clic o 1 día después de la visualización","Conversaciones con mensajes iniciadas",5,0.71,0.142,2026-01-15,2026-01-22,5.76923077,1.95054945,0.05461538,13,,0.01479167,1.37362637,21,0.03380952,2025-12-01,2026-01-31
18-24,female,"Carrusel Baterias Telefonos",not_delivering,ad,723,1135,1.56984786,"7 días después del clic o 1 día después de la visualización","Conversaciones con mensajes iniciadas",2,0.71,0.355,2026-01-15,2026-01-22,3.87665198,0.62555066,0.05916667,12,,0.01543478,0.17621145,44,0.01613636,2025-12-01,2026-01-31
65+,female,"Samsung A17, A56, S25 FE carrusel - campaña de Interacción",not_delivering,ad,1147,1687,1.47079337,"7 días después del clic o 1 día después de la visualización","Interacciones con publicación",147,0.71,0.00482993,2026-01-07,2026-01-14,6.34262004,0.42086544,0.02448276,29,,0.00482993,8.71369295,107,0.00663551,2025-12-01,2026-01-31
65+,female,"Carusel Galaxy A56 - campaña de Interacción",not_delivering,ad,1145,1725,1.50655022,"7 días después del clic o 1 día después de la visualización","Interacciones con publicación",129,0.7,0.00542636,2025-12-26,2026-01-02,5.79710145,0.4057971,0.02,35,,0.00542636,7.47826087,100,0.007,2025-12-01,2026-01-31
65+,female,"Regalos por menos de  150 campaña de Interacción",not_delivering,ad,362,617,1.70441989,"7 días después del clic o 1 día después de la visualización","Interacciones con publicación",100,0.7,0.007,2025-12-06,2025-12-13,14.74878444,1.13452188,0.175,4,,0.007,16.20745543,91,0.00769231,2025-12-01,2026-01-31
65+,female,"Top 5 telefonos mas pedidos en navidad campaña de Interacción",not_delivering,ad,1026,1525,1.48635478,"7 días después del clic o 1 día después de la visualización","Interacciones con publicación",152,0.7,0.00460526,2025-12-06,2025-12-13,10.42622951,0.45901639,0.01296296,54,,0.00460526,9.96721311,159,0.00440252,2025-12-01,2026-01-31
18-24,female,"Cafetera  cashea - campaña de Interacción con la publicación",not_delivering,ad,909,1131,1.24422442,"7 días después del clic o 1 día después de la visualización","Interacciones con publicación",57,0.69,0.01210526,2025-10-16,"En curso",4.33244916,0.61007958,0.03631579,19,,0.01210526,5.0397878,49,0.01408163,2025-12-01,2026-01-31
35-44,male,"Poco M8",not_delivering,ad,187,287,1.53475936,"7 días después del clic o 1 día después de la visualización",,,0.69,,2026-01-24,2026-01-31,5.57491289,2.40418118,0.09857143,7,,0.00784091,,16,0.043125,2025-12-01,2026-01-31
18-24,female,"Promocion Xiaomi Mi Post",not_delivering,ad,373,641,1.71849866,"7 días después del clic o 1 día después de la visualización","Conversaciones con mensajes iniciadas",2,0.69,0.345,2026-01-22,2026-01-29,4.68018721,1.07644306,0.07666667,9,,0.01210526,0.31201248,30,0.023,2025-12-01,2026-01-31
45-54,male,"Poco M8",not_delivering,ad,101,151,1.4950495,"7 días después del clic o 1 día después de la visualización",,,0.68,,2026-01-24,2026-01-31,3.97350993,4.50331126,0.17,4,,0.01133333,,6,0.11333333,2025-12-01,2026-01-31
35-44,female,"Playstation 5",archived,ad,273,350,1.28205128,"7 días después del clic o 1 día después de la visualización","Conversaciones con mensajes iniciadas",5,0.67,0.134,2026-01-24,2026-01-31,4.28571429,1.91428571,0.134,5,,0.00943662,1.42857143,15,0.04466667,2025-12-01,2026-01-31
35-44,male,"TV Hisense TCL",archived,ad,457,605,1.3238512,"7 días después del clic o 1 día después de la visualización","Conversaciones con mensajes iniciadas",2,0.67,0.335,2026-01-24,2026-01-31,4.46280992,1.10743802,0.1675,4,,0.00406061,0.33057851,27,0.02481481,2025-12-01,2026-01-31
65+,female,"Infinix HOT  Pro+ campaña de Interacción",not_delivering,ad,538,832,1.5464684,"7 días después del clic o 1 día después de la visualización","Interacciones con publicación",85,0.67,0.00788235,2025-12-02,2025-12-09,8.05288462,0.80528846,0.041875,16,,0.00788235,10.21634615,67,0.01,2025-12-01,2026-01-31
65+,unknown,"Arizon.ai 03 - Humberto El Redmi Note 15",not_delivering,ad,80,181,2.2625,"7 días después del clic o 1 día después de la visualización","Conversaciones con mensajes iniciadas",6,0.66,0.11,2026-01-15,2026-01-31,10.49723757,3.64640884,0.055,12,,0.00702128,3.31491713,19,0.03473684,2025-12-01,2026-01-31
55-64,female,"Promos samsung - campaña de Interacción",not_delivering,ad,589,828,1.4057725,"7 días después del clic o 1 día después de la visualización","Interacciones con publicación",112,0.66,0.00589286,2026-01-13,2026-01-20,4.46859903,0.79710145,0.132,5,,0.00589286,13.52657005,37,0.01783784,2025-12-01,2026-01-31
65+,female,"Carrusel HOT 60I - campaña de Interacción",not_delivering,ad,863,1272,1.47392816,"7 días después del clic o 1 día después de la visualización","Interacciones con publicación",112,0.65,0.00580357,2025-12-26,2026-01-02,6.68238994,0.51100629,0.03095238,21,,0.00580357,8.80503145,85,0.00764706,2025-12-01,2026-01-31
18-24,male,"Cubott king kong X PRO -  campaña de Interacción",not_delivering,ad,1171,1567,1.3381725,"7 días después del clic o 1 día después de la visualización","Interacciones con publicación",153,0.65,0.00424837,2026-01-02,2026-01-09,6.57306956,0.41480536,0.13,5,,0.00424837,9.76388003,103,0.00631068,2025-12-01,2026-01-31
65+,male,"Carrusel Promocion Samsung",not_delivering,ad,272,484,1.77941176,"7 días después del clic o 1 día después de la visualización","Conversaciones con mensajes iniciadas",1,0.65,0.65,2026-01-15,2026-01-22,3.92561983,1.34297521,0.065,10,,0.00555556,0.20661157,19,0.03421053,2025-12-01,2026-01-31
18-24,female,"PS5 Humberto - campaña de Interacción",not_delivering,ad,1857,2429,1.30802369,"7 días después del clic o 1 día después de la visualización",ThruPlay,378,0.64,0.00169312,2025-12-15,2025-12-24,1.07039934,0.26348291,0.04571429,14,,0.00055944,15.56195965,26,0.02461538,2025-12-01,2026-01-31
45-54,female,Lifephone,archived,ad,138,164,1.1884058,"7 días después del clic o 1 día después de la visualización",,,0.63,,2026-01-24,2026-02-07,5.48780488,3.84146341,0.21,3,,0.00984375,,9,0.07,2025-12-01,2026-01-31
65+,female,"El Xiaomi 15T Pro",active,ad,72,183,2.54166667,"7 días después del clic o 1 día después de la visualización","Conversaciones con mensajes iniciadas",1,0.63,0.63,2026-01-27,2026-02-07,2.18579235,3.44262295,0.63,1,,0.042,0.54644809,4,0.1575,2025-12-01,2026-01-31
65+,male,"Regalos por menos de  150 campaña de Interacción",not_delivering,ad,417,618,1.48201439,"7 días después del clic o 1 día después de la visualización","Interacciones con publicación",81,0.63,0.00777778,2025-12-06,2025-12-13,12.78317152,1.01941748,0.315,2,,0.00777778,13.10679612,79,0.00797468,2025-12-01,2026-01-31
18-24,female,"top telefonos mas vendidos 2025 - campaña de Interacción",not_delivering,ad,1223,1502,1.22812756,"7 días después del clic o 1 día después de la visualización","Interacciones con publicación",157,0.63,0.00401274,2026-01-02,"En curso",10.65246338,0.41944075,0.21,3,,0.00401274,10.45272969,160,0.0039375,2025-12-01,2026-01-31
18-24,female,"Playstation 5",archived,ad,296,416,1.40540541,"7 días después del clic o 1 día después de la visualización","Conversaciones con mensajes iniciadas",2,0.63,0.315,2026-01-24,2026-01-31,3.125,1.51442308,0.21,3,,0.01105263,0.48076923,13,0.04846154,2025-12-01,2026-01-31
18-24,female,"Xiaomi Redmi Note 15 Pro",active,ad,213,357,1.67605634,"7 días después del clic o 1 día después de la visualización",,,0.63,,2026-01-27,2026-02-07,3.64145658,1.76470588,0.63,1,,0.04846154,,13,0.04846154,2025-12-01,2026-01-31
65+,female,"S25 FE - campaña de Interacción",not_delivering,ad,466,736,1.57939914,"7 días después del clic o 1 día después de la visualización","Interacciones con publicación",111,0.62,0.00558559,2025-12-06,2025-12-13,7.20108696,0.8423913,0.05636364,11,,0.00558559,15.08152174,53,0.01169811,2025-12-01,2026-01-31
65+,male,"Samsung A17, A56, S25 FE carrusel - campaña de Interacción",not_delivering,ad,1628,2445,1.50184275,"7 días después del clic o 1 día después de la visualización","Interacciones con publicación",109,0.62,0.00568807,2026-01-07,2026-01-14,4.21267894,0.25357873,0.01722222,36,,0.00568807,4.45807771,103,0.00601942,2025-12-01,2026-01-31
18-24,male,"Video humberto  tv salcar de Interacción",not_delivering,ad,3401,4447,1.3075566,"7 días después del clic o 1 día después de la visualización",ThruPlay,459,0.62,0.00135076,2025-12-18,2026-02-06,0.98943108,0.13941983,0.02952381,21,,0.00029552,10.3215651,44,0.01409091,2025-12-01,2026-01-31
65+,female,"Lista 22/01/2015",not_delivering,ad,104,196,1.88461538,"7 días después del clic o 1 día después de la visualización","Conversaciones con mensajes iniciadas",2,0.61,0.305,2026-01-21,2026-01-31,11.73469388,3.1122449,0.04066667,15,,0.00871429,1.02040816,23,0.02652174,2025-12-01,2026-01-31
55-64,unknown,"Arizon.ai 03 - Humberto El Redmi Note 15",not_delivering,ad,139,291,2.09352518,"7 días después del clic o 1 día después de la visualización","Conversaciones con mensajes iniciadas",8,0.6,0.075,2026-01-15,2026-01-31,6.18556701,2.06185567,0.05,12,,0.00447761,2.74914089,18,0.03333333,2025-12-01,2026-01-31
55-64,unknown,"Arizon.ai 03 - Unboxing B Redmi Note 15 Pro 5G",not_delivering,ad,53,138,2.60377358,"7 días después del clic o 1 día después de la visualización","Conversaciones con mensajes iniciadas",2,0.6,0.3,2026-01-15,2026-01-29,7.24637681,4.34782609,0.075,8,,0.01090909,1.44927536,10,0.06,2025-12-01,2026-01-31
25-34,female,"Galaxy S25 Ultra",archived,ad,334,433,1.29640719,"7 días después del clic o 1 día después de la visualización","Conversaciones con mensajes iniciadas",4,0.59,0.1475,2026-01-24,2026-01-31,6.00461894,1.36258661,0.08428571,7,,0.00443609,0.92378753,26,0.02269231,2025-12-01,2026-01-31
65+,male,"Arizon.ai 04 Samsung S25 B Carrusel Samsung Galaxy s25",not_delivering,ad,93,133,1.43010753,"7 días después del clic o 1 día después de la visualización",,,0.59,,2026-01-15,2026-01-22,1.5037594,4.43609023,0.295,2,,0.0184375,,2,0.295,2025-12-01,2026-01-31
65+,male,"iPhone 14 Black Friday",not_delivering,ad,1129,1721,1.52435784,"7 días después del clic o 1 día después de la visualización","Interacciones con publicación",59,0.59,0.01,2025-11-25,"En curso",3.07960488,0.34282394,0.06555556,9,,0.01,3.4282394,53,0.01113208,2025-12-01,2026-01-31
45-54,male,"Starlink campaña de mensaje",not_delivering,ad,621,867,1.39613527,"7 días después del clic o 1 día después de la visualización","Conversaciones con mensajes iniciadas",6,0.59,0.09833333,2026-01-06,"En curso",3.46020761,0.6805075,0.04538462,13,,0.02458333,0.69204152,30,0.01966667,2025-12-01,2026-01-31
35-44,female,"Starlink campaña de mensaje",not_delivering,ad,483,762,1.57763975,"7 días después del clic o 1 día después de la visualización","Conversaciones con mensajes iniciadas",5,0.59,0.118,2026-01-06,"En curso",2.09973753,0.77427822,0.09833333,6,,0.05363636,0.65616798,16,0.036875,2025-12-01,2026-01-31
65+,male,"Nuevos Xiaomi - campaña de Interacción",not_delivering,ad,1328,2028,1.52710843,"7 días después del clic o 1 día después de la visualización","Interacciones con publicación",91,0.58,0.00637363,2026-01-04,2026-01-11,4.43786982,0.28599606,0.029,20,,0.00637363,4.48717949,90,0.00644444,2025-12-01,2026-01-31
65+,male,"Nuevos Xiaomi campaña de Interacción",not_delivering,ad,1141,1691,1.4820333,"7 días después del clic o 1 día después de la visualización","Interacciones con publicación",120,0.58,0.00483333,2025-12-27,2026-01-06,5.3222945,0.34299231,0.02230769,26,,0.00483333,7.09639267,90,0.00644444,2025-12-01,2026-01-31
65+,male,"Infinix HOT  Pro+ campaña de Interacción",not_delivering,ad,945,1458,1.54285714,"7 días después del clic o 1 día después de la visualización","Interacciones con publicación",67,0.58,0.00865672,2025-12-02,2025-12-09,5.00685871,0.39780521,0.02230769,26,,0.00865672,4.59533608,73,0.00794521,2025-12-01,2026-01-31
